14	7	E	-4323147.286966812	200
transitionprobs	12	5	8.24973532888544E-6
transitionprobs	12	6	0.001460015655567972
transitionprobs	12	7	3.8225168155898884E-4
transitionprobs	12	8	0.0
transitionprobs	12	9	1.0671505945771708E-4
transitionprobs	12	10	0.0
transitionprobs	12	11	0.0054027533903239595
transitionprobs	12	12	0.9817667795959185
transitionprobs	12	13	0.006991810392941322
transitionprobs	12	14	0.001473243822007458
transitionprobs	13	1	3.329146972929909E-6
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	8.807062558003273E-4
transitionprobs	13	5	0.005419724532739134
transitionprobs	13	6	0.004360315026339572
transitionprobs	13	7	0.015332130087862944
transitionprobs	13	8	3.851930448699416E-4
transitionprobs	13	9	0.002165051382336803
transitionprobs	13	10	0.002095461316248152
transitionprobs	13	11	0.11083923053622377
transitionprobs	13	12	0.17417085587237016
transitionprobs	13	13	0.6020487980591253
transitionprobs	13	14	0.08229920473911083
transitionprobs	14	1	0.014762492314319748
transitionprobs	14	2	1.847908522690957E-4
transitionprobs	14	3	0.0
transitionprobs	14	4	0.003979596662248962
transitionprobs	14	5	6.647563977034955E-4
transitionprobs	14	6	0.05965141593337042
transitionprobs	14	7	0.002670040449087443
transitionprobs	14	8	2.154684470549746E-4
transitionprobs	14	9	0.013804019629800646
transitionprobs	14	10	1.035297698428368E-4
transitionprobs	14	11	5.610461768907796E-4
transitionprobs	14	12	0.0027189235518802115
transitionprobs	14	13	0.009931177801827003
transitionprobs	14	14	0.8907527420137044
emissionprobs	1	0	H2Aub1	0	0.9976431237527636
emissionprobs	1	0	H2Aub1	1	0.002356876247236253
emissionprobs	1	1	RING1B	0	0.9948863097626937
emissionprobs	1	1	RING1B	1	0.005113690237306354
emissionprobs	1	2	RNAPII_8WG16	0	0.999517904711799
emissionprobs	1	2	RNAPII_8WG16	1	4.8209528820094313E-4
emissionprobs	1	3	RNAPII_S2P	0	0.9978178850879503
emissionprobs	1	3	RNAPII_S2P	1	0.0021821149120497124
emissionprobs	1	4	RNAPII_S5P	0	0.9995717470900649
emissionprobs	1	4	RNAPII_S5P	1	4.282529099350339E-4
emissionprobs	1	5	RNAPII_S7P	0	0.9988082099946485
emissionprobs	1	5	RNAPII_S7P	1	0.0011917900053515092
emissionprobs	1	6	SUZ12	0	0.9757335213966339
emissionprobs	1	6	SUZ12	1	0.024266478603365987
emissionprobs	2	0	H2Aub1	0	0.9986848233819207
emissionprobs	2	0	H2Aub1	1	0.0013151766180793118
emissionprobs	2	1	RING1B	0	0.9988575973218669
emissionprobs	2	1	RING1B	1	0.0011424026781331146
emissionprobs	2	2	RNAPII_8WG16	0	0.999869111776083
emissionprobs	2	2	RNAPII_8WG16	1	1.3088822391699306E-4
emissionprobs	2	3	RNAPII_S2P	0	0.9990042516253843
emissionprobs	2	3	RNAPII_S2P	1	9.957483746156376E-4
emissionprobs	2	4	RNAPII_S5P	0	0.9999097925265711
emissionprobs	2	4	RNAPII_S5P	1	9.020747342888712E-5
emissionprobs	2	5	RNAPII_S7P	0	0.999770149551331
emissionprobs	2	5	RNAPII_S7P	1	2.298504486690112E-4
emissionprobs	2	6	SUZ12	0	0.9969142931619505
emissionprobs	2	6	SUZ12	1	0.003085706838049578
emissionprobs	3	0	H2Aub1	0	0.5745448291974439
emissionprobs	3	0	H2Aub1	1	0.4254551708025561
emissionprobs	3	1	RING1B	0	0.005768683471897076
emissionprobs	3	1	RING1B	1	0.9942313165281029
emissionprobs	3	2	RNAPII_8WG16	0	0.9499540177317604
emissionprobs	3	2	RNAPII_8WG16	1	0.05004598226823964
emissionprobs	3	3	RNAPII_S2P	0	0.997297080270327
emissionprobs	3	3	RNAPII_S2P	1	0.0027029197296730683
emissionprobs	3	4	RNAPII_S5P	0	0.7734345068861708
emissionprobs	3	4	RNAPII_S5P	1	0.22656549311382934
emissionprobs	3	5	RNAPII_S7P	0	0.9861441521583851
emissionprobs	3	5	RNAPII_S7P	1	0.013855847841614822
emissionprobs	3	6	SUZ12	0	0.008660653874489886
emissionprobs	3	6	SUZ12	1	0.9913393461255101
emissionprobs	4	0	H2Aub1	0	0.9840909794899362
emissionprobs	4	0	H2Aub1	1	0.015909020510063807
emissionprobs	4	1	RING1B	0	0.6727105379488307
emissionprobs	4	1	RING1B	1	0.3272894620511693
emissionprobs	4	2	RNAPII_8WG16	0	0.9695598784294884
emissionprobs	4	2	RNAPII_8WG16	1	0.030440121570511607
emissionprobs	4	3	RNAPII_S2P	0	0.9950702028293432
emissionprobs	4	3	RNAPII_S2P	1	0.004929797170656824
